Title,Price,Rating,Reviews,Availability,Product Name
Apple iPhone 13 (128GB) - Green,"49,999.",4.6 out of 5 stars,"25,414 ratings",,Apple iPhone 13
Apple iPhone 15 (128 GB) - Black,"71,290.",4.5 out of 5 stars,911 ratings,In stock,Apple iPhone 15
"OPPO A59 5G (Starry Black, 4GB RAM, 128GB Storage) | 5000 mAh Battery with 33W SUPERVOOC Charger | 6.56"" HD+ 90Hz Display | with No Cost EMI/Additional Exchange Offers","13,999.",4.2 out of 5 stars,37 ratings,In stock,OPPO A59 5G
"OPPO A59 5G (Starry Black, 6GB RAM, 128GB Storage) | 5000 mAh Battery with 33W SUPERVOOC Charger | 6.56"" HD+ 90Hz Display | with No Cost EMI/Additional Exchange Offers","15,499.",4.4 out of 5 stars,18,In stock,OPPO A59 5G
"OPPO A59 5G (Silk Gold, 6GB RAM, 128GB Storage) | 5000 mAh Battery with 33W SUPERVOOC Charger | 6.56"" HD+ 90Hz Display | with No Cost EMI/Additional Exchange Offers","15,499.",3.9 out of 5 stars,16,In stock,OPPO A59 5G
"Systene 36W 8A 4 Port USB QC 3.0 Car Charger Front Back Seat with 6 Feet Extension Cable Compatible with Apple iPad, iPhone 5s/6/6s/7/X, Samsung,Mi, and All Android Smartphones,etc (Black)",899.,4.0 out of 5 stars,119 ratings,In stock,"Systene 36W 8A 4 Port USB QC 3.0 Car Charger Front Back Seat with 6 Feet Extension Cable Compatible with Apple iPad, iPhone 5s/6/6s/7/X, Samsung,Mi, and All Android Smartphones,etc"
"Systene 36W 8A 4 Port USB QC 3.0 Car Charger Front Back Seat with 6 Feet Extension Cable Compatible with Apple iPad, iPhone 5s/6/6s/7/X, Samsung,Mi, and All Android Smartphones,etc (Black)",899.,4.0 out of 5 stars,119 ratings,In stock,"Systene 36W 8A 4 Port USB QC 3.0 Car Charger Front Back Seat with 6 Feet Extension Cable Compatible with Apple iPad, iPhone 5s/6/6s/7/X, Samsung,Mi, and All Android Smartphones,etc"
"Oppo F25 Pro 5G (Lava Red, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","25,999.",4.1 out of 5 stars,41,In stock,Oppo F25 Pro 5G
"POCO C55 (Power Black, 6GB RAM, 128GB Storage)","6,499.",4.0 out of 5 stars,"1,100 ratings",In stock,POCO C55
Nokia G42 5G Powered by Snapdragon® 480 Plus 5G | 50MP Triple Rear AI Camera | 6GB RAM (4GB RAM + 2GB Virtual RAM) | 128GB Storage | 3-Day Battery Life | 2 Years of Android Upgrades | SO Grey,"9,999.",3.9 out of 5 stars,"2,867 ratings",In stock,Nokia G42 5G Powered by Snapdragon® 480 Plus 5G | 50MP Triple Rear AI Camera | 6GB RAM
"realme narzo N53 (Feather Gold, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display","8,499.",4.0 out of 5 stars,"14,759 ratings",In stock,realme narzo N53
"Redmi 13C 5G (Startrail Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","10,999.",4.0 out of 5 stars,"2,228",In stock,Redmi 13C 5G
Apple iPhone 15 Pro (128 GB) - Natural Titanium,"1,27,990.",4.2 out of 5 stars,180 ratings,In stock,Apple iPhone 15 Pro
Apple iPhone 14 Plus (128 GB) - Yellow,"66,999.",4.5 out of 5 stars,"1,757 ratings",In stock,Apple iPhone 14 Plus
"Samsung Galaxy M04 Light Green, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera","6,999.",3.9 out of 5 stars,"19,317 ratings",In stock,"Samsung Galaxy M04 Light Green, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera"
"Vivo Y02t (Cosmic Grey, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","7,499.",4.1 out of 5 stars,363 ratings,In stock,Vivo Y02t
"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger","10,990.",4.0 out of 5 stars,"19,699",In stock,Samsung Galaxy M14 5G
"POCO C55 (Cool Blue, 6GB RAM, 128GB Storage)","6,499.",4.0 out of 5 stars,"1,100 ratings",In stock,POCO C55
"Redmi 13C (Stardust Black, 4GB RAM, 128GB Storage) | Powered by 4G Mediatek Helio G85 | 90Hz Display | 50MP AI Triple Camera","7,799.",4.2 out of 5 stars,650,In stock,Redmi 13C
"Redmi 13C (Stardust Black, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","8,799.",4.0 out of 5 stars,209 ratings,In stock,Redmi 13C
"iQOO Z6 Lite 5G (Mystic Night, 6GB RAM, 128GB Storage) with Charger | Qualcomm Snapdragon 4 Gen 1 Processor | 120Hz FHD+ Display | Travel Adaptor Included in The Box","11,499.",4.1 out of 5 stars,"21,873 ratings",In stock,iQOO Z6 Lite 5G
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 256GB Storage)","19,999.",4.2 out of 5 stars,"46,647",In stock,OnePlus Nord CE 3 Lite 5G
Redmi 12 5G Pastel Blue 4GB RAM 128GB ROM,"11,999.",4.0 out of 5 stars,"14,594 ratings",,Redmi 12 5G Pastel Blue 4GB RAM 128GB ROM
"itel A70 Smartphone | 12GB* RAM, 128GB Storage | 8MP AI Selfie Camera | 5000mAh Battery | Type-C Charging | Dynamic Bar | Brilliant Gold","6,799.",3.9 out of 5 stars,561 ratings,In stock,"itel A70 Smartphone | 12GB* RAM, 128GB Storage | 8MP AI Selfie Camera | 5000mAh Battery | Type-C Charging | Dynamic Bar | Brilliant Gold"
"Silicone Card Holder,Finger Grip & Mobile Holder,Mobile Stand Phone Holder for Back of Mobile or Case, Apply to iPhone Stand & Android Phone Stand(Black)",168.,1.0 out of 5 stars,2,In stock,"Silicone Card Holder,Finger Grip & Mobile Holder,Mobile Stand Phone Holder for Back of Mobile or Case, Apply to iPhone Stand & Android Phone Stand"
"Silicone Card Holder,Finger Grip & Mobile Holder,Mobile Stand Phone Holder for Back of Mobile or Case, Apply to iPhone Stand & Android Phone Stand(Black)",168.,1.0 out of 5 stars,2 ratings,In stock,"Silicone Card Holder,Finger Grip & Mobile Holder,Mobile Stand Phone Holder for Back of Mobile or Case, Apply to iPhone Stand & Android Phone Stand"
Apple iPhone 13 (128GB) - Green,"49,999.",4.6 out of 5 stars,"25,414 ratings",,Apple iPhone 13
Apple iPhone 15 (128 GB) - Black,"71,290.",4.5 out of 5 stars,911,In stock,Apple iPhone 15
"TECNO POP 8 (Gravity Black,(8GB*+64GB)| 90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor","6,599.",4.1 out of 5 stars,819 ratings,In stock,TECNO POP 8
"iQOO Z7s 5G by vivo (Pacific Night, 8GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge","15,999.",4.1 out of 5 stars,"15,338 ratings",In stock,iQOO Z7s 5G by vivo
"Samsung Galaxy M34 5G (Midnight Blue,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|Without Charger","15,999.",4.0 out of 5 stars,"13,858 ratings",In stock,Samsung Galaxy M34 5G
"Redmi 13C 5G (Startrail Silver, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","10,999.",4.0 out of 5 stars,"2,228",In stock,Redmi 13C 5G
"realme narzo 60X 5G (Stellar Green, 4GB, 128GB Storage) Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge","10,999.",4.1 out of 5 stars,"9,487 ratings",In stock,realme narzo 60X 5G
"POCO C51 (Royal Blue, 6GB RAM, 128GB Storage)","5,999.",3.8 out of 5 stars,"1,265 ratings",In stock,POCO C51
"realme narzo N53 (Feather Black, 4GB+64GB) 33W Segment Fastest Charging | Slim Smartphone | 90 Hz Smooth Display","8,999.",4.0 out of 5 stars,"14,759 ratings",In stock,realme narzo N53
"POCO C55 (Forest Green, 6GB RAM, 128GB Storage)","6,499.",4.0 out of 5 stars,"1,100 ratings",In stock,POCO C55
